
Миграционный прирост, человек, значение показателя за год, Всего, Всего
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
Коммунарское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;520;390;178;372;222;261;104;514;-230;;275;61;
в пределах России;;;;;;;;;;;;;
Городские поселения;451;230;140;284;256;251;0;408;-205;;216;125;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-5;-5;-15;-17;16;-6;18;-14;-30;;-11;-71;
межрегиональная;;;;;;;;;;;;;
Городские поселения;456;235;155;301;240;257;-18;422;-175;;227;196;
международная;;;;;;;;;;;;;
Городские поселения;69;160;38;88;-34;10;104;106;-25;;59;-64;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;67;149;38;85;-29;11;95;98;-22;;59;-62;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;2;11;;3;-5;-1;9;8;-3;;0;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;525;395;193;389;206;267;86;528;-200;;286;132;
Вырицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;462;290;319;191;132;-43;-32;-112;-313;-251;5;-81;
в пределах России;;;;;;;;;;;;;
Городские поселения;412;221;251;146;114;-59;-43;-177;-274;-253;-18;-3;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;2;11;-9;-1;-9;-24;-6;-45;-34;-45;-4;-50;
межрегиональная;;;;;;;;;;;;;
Городские поселения;410;210;260;147;123;-35;-37;-132;-240;-208;-14;47;
международная;;;;;;;;;;;;;
Городские поселения;50;69;68;45;18;16;11;65;-39;2;23;-78;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;38;59;64;39;14;15;20;60;-39;15;25;-75;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;12;10;4;6;4;1;-9;5;0;-13;-2;-3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;460;279;328;192;141;-19;-26;-67;-279;-206;9;-31;
Дружногорское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;142;104;89;56;-22;10;27;14;-118;-84;18;-58;
в пределах России;;;;;;;;;;;;;
Городские поселения;129;82;49;32;-36;-6;22;2;-107;-76;8;-44;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-15;-4;-32;-11;-33;-8;-4;3;-28;-19;-12;-15;
межрегиональная;;;;;;;;;;;;;
Городские поселения;144;86;81;43;-3;2;26;-1;-79;-57;20;-29;
международная;;;;;;;;;;;;;
Городские поселения;13;22;40;24;14;16;5;12;-11;-8;10;-14;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;14;21;38;22;14;16;5;10;-10;-7;7;-14;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-1;1;2;2;0;0;;2;-1;-1;3;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;157;108;121;67;11;18;31;11;-90;-65;30;-43;
Сиверское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;273;366;386;220;26;117;-35;-89;-366;-283;-53;-104;
в пределах России;;;;;;;;;;;;;
Городские поселения;151;156;193;83;-37;68;-78;-137;-336;-267;-87;-54;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-75;-32;-50;-37;-25;21;-8;-70;-70;-77;-48;-75;
межрегиональная;;;;;;;;;;;;;
Городские поселения;226;188;243;120;-12;47;-70;-67;-266;-190;-39;21;
международная;;;;;;;;;;;;;
Городские поселения;122;210;193;137;63;49;43;48;-30;-16;34;-50;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;118;196;185;128;59;48;42;46;-29;-15;27;-45;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;4;14;8;9;4;1;1;2;-1;-1;7;-5;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;348;398;436;257;51;96;-27;-19;-296;-206;-5;-29;
Таицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;241;228;216;390;121;61;-191;-82;-186;-115;56;182;
в пределах России;;;;;;;;;;;;;
Городские поселения;199;112;163;247;278;60;-193;-97;-156;-101;46;207;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;22;14;13;29;63;16;-42;-22;-28;-27;-8;35;
межрегиональная;;;;;;;;;;;;;
Городские поселения;177;98;150;218;215;44;-151;-75;-128;-74;54;172;
международная;;;;;;;;;;;;;
Городские поселения;42;116;53;143;-157;1;2;15;-30;-14;10;-25;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;39;113;42;147;-159;4;3;18;-28;-15;12;-24;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;3;3;11;-4;2;-3;-1;-3;-2;1;-2;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;219;214;203;361;58;45;-149;-60;-158;-88;64;147;
Пудомягское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;311;146;77;157;-9;63;71;84;-201;;103;184;
в пределах России;;;;;;;;;;;;;
Сельские поселения;222;103;46;71;34;67;58;67;-166;;98;217;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;19;-19;-1;-4;-11;-36;-5;33;-26;;61;48;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;203;122;47;75;45;103;63;34;-140;;37;169;
международная;;;;;;;;;;;;;
Сельские поселения;89;43;31;86;-43;-4;13;17;-35;;5;-33;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;85;46;32;86;-45;-6;14;16;-35;;4;-29;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;4;-3;-1;0;2;2;-1;1;;;1;-4;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;292;165;78;161;2;99;76;51;-175;;42;136;
Большеколпанское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;147;208;122;180;215;53;-94;-64;-115;;48;14;
в пределах России;;;;;;;;;;;;;
Сельские поселения;123;83;146;172;210;31;-115;-87;-113;;50;44;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-6;20;28;34;100;32;-47;-33;-28;;-25;-13;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;129;63;118;138;110;-1;-68;-54;-85;;75;57;
международная;;;;;;;;;;;;;
Сельские поселения;24;125;-24;8;5;22;21;23;-2;;-2;-30;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;23;126;-27;9;4;19;21;22;-2;;-3;-31;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;-1;3;-1;1;3;0;1;;;1;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;153;188;94;146;115;21;-47;-31;-87;;73;27;
Веревское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;341;261;317;47;18;42;11;33;-152;-58;66;156;
в пределах России;;;;;;;;;;;;;
Сельские поселения;283;114;219;-1;73;33;-16;1;-123;-54;52;158;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;35;21;;9;31;15;-16;-23;-44;-13;7;42;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;248;93;219;-10;42;18;0;24;-79;-41;45;116;
международная;;;;;;;;;;;;;
Сельские поселения;58;147;98;48;-55;9;27;32;-29;-4;14;-2;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;56;136;94;44;-52;14;26;33;-38;-6;22;-4;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;11;4;4;-3;-5;1;-1;9;2;-8;2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;306;240;317;38;-13;27;27;56;-108;-45;59;114;
Войсковицкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;42;40;173;-213;-47;-37;-101;-127;-120;-86;-15;50;
в пределах России;;;;;;;;;;;;;
Сельские поселения;19;-67;-2;-106;43;-33;-111;-130;-121;-78;-16;62;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-51;-21;-30;-136;-37;11;-25;-18;-37;-17;-1;13;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;70;-46;28;30;80;-44;-86;-112;-84;-61;-15;49;
международная;;;;;;;;;;;;;
Сельские поселения;23;107;175;-107;-90;-4;10;3;1;-8;1;-12;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;23;106;175;-105;-88;-4;10;3;2;-8;2;-13;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;;-2;-2;0;0;0;-1;0;-1;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;93;61;203;-77;-10;-48;-76;-109;-83;-69;-14;37;
Елизаветинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;151;111;55;15;92;6;74;4;-101;-53;55;-17;
в пределах России;;;;;;;;;;;;;
Сельские поселения;110;60;45;4;84;0;43;-24;-82;-44;33;31;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;1;-21;-21;-21;4;-14;-5;-23;-23;-15;13;-32;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;109;81;66;25;80;14;48;-1;-59;-29;20;63;
международная;;;;;;;;;;;;;
Сельские поселения;41;51;10;11;8;6;31;28;-19;-9;22;-48;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;43;47;12;11;13;6;26;29;-17;-9;22;-49;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;-2;4;-2;0;-5;0;5;-1;-2;0;;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;150;132;76;36;88;20;79;27;-78;-38;42;15;
Кобринское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;123;130;117;109;34;-8;74;0;-111;-112;19;0;
в пределах России;;;;;;;;;;;;;
Сельские поселения;98;86;69;64;32;-33;39;-19;-92;-82;1;43;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-18;0;-13;-9;7;-22;-5;5;-41;-19;-12;19;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;116;86;82;73;25;-11;44;-24;-51;-63;13;24;
международная;;;;;;;;;;;;;
Сельские поселения;25;44;48;45;2;25;35;19;-19;-30;18;-43;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;22;44;47;42;1;26;35;18;-19;-28;16;-42;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;3;;1;3;1;-1;;1;0;-2;2;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;141;130;130;118;27;14;79;-5;-70;-93;31;-19;
Новосветское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;276;278;97;-2;97;19;-4;4;-74;-91;-5;64;
в пределах России;;;;;;;;;;;;;
Сельские поселения;240;110;77;-21;181;12;-43;-34;-66;-86;-6;99;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;1;-28;-27;-67;28;-23;-26;-27;-33;-15;-13;24;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;239;138;104;46;153;35;-17;-7;-33;-71;7;75;
международная;;;;;;;;;;;;;
Сельские поселения;36;168;20;19;-84;7;39;38;-8;-5;1;-35;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;37;166;18;21;-86;7;36;39;-5;-4;3;-35;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;-1;2;2;-2;2;0;3;-1;-3;-1;-2;0;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;275;306;124;65;69;42;22;31;-41;-76;8;40;
Пудостьское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;224;215;242;136;143;251;155;215;-69;-73;57;12;
в пределах России;;;;;;;;;;;;;
Сельские поселения;186;151;190;112;154;230;113;177;-79;-89;14;87;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;26;11;22;42;13;45;30;37;-13;4;16;-4;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;160;140;168;70;141;185;83;140;-66;-93;-2;91;
международная;;;;;;;;;;;;;
Сельские поселения;38;64;52;24;-11;21;42;38;10;16;43;-75;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;35;64;53;21;-17;18;42;39;9;16;43;-72;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;3;0;-1;3;6;3;0;-1;1;0;;-3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;198;204;220;94;130;206;125;178;-56;-77;41;16;
